Date,Elevation (feet),,,,,,,,,
01-Aug-1985,3690.74, , , , , , , , , 
01-Sep-1985,3685.66, , , , , , , , , 
01-Oct-1985,3686.23, , , , , , , , , 
01-Nov-1985,3686.47, , , , , , , , , 
01-Dec-1985,3687.19, , , , , , , , , 
01-Jan-1986,3685.59, , , , , , , , , 
01-Feb-1986,3683.57, , , , , , , , , 
01-Mar-1986,3680.68, , , , , , , , , 
01-Apr-1986,3682.06, , , , , , , , , 
01-May-1986,3685.09, , , , , , , , , 
01-Jun-1986,3694.99, , , , , , , , , 
01-Jul-1986,3699.71, , , , , , , , , 
01-Aug-1986,3694.72, , , , , , , , , 
01-Sep-1986,3689.62, , , , , , , , , 
01-Oct-1986,3689.22, , , , , , , , , 
01-Nov-1986,3688.06, , , , , , , , , 
01-Dec-1986,3684.36, , , , , , , , , 
01-Jan-1987,3679.07, , , , , , , , , 
01-Feb-1987,3677.65, , , , , , , , , 
01-Mar-1987,3679.42, , , , , , , , , 
01-Apr-1987,3684.45, , , , , , , , , 
01-May-1987,3694.57, , , , , , , , , 
01-Jun-1987,3698.37, , , , , , , , , 
01-Jul-1987,3696.09, , , , , , , , , 
01-Aug-1987,3691.61, , , , , , , , , 
01-Sep-1987,3687.95, , , , , , , , , 
01-Oct-1987,3687.79, , , , , , , , , 
01-Nov-1987,3687.43, , , , , , , , , 
01-Dec-1987,3685.3, , , , , , , , , 
01-Jan-1988,3683.04, , , , , , , , , 
01-Feb-1988,3681.75, , , , , , , , , 
01-Mar-1988,3681.69, , , , , , , , , 
01-Apr-1988,3683.61, , , , , , , , , 
01-May-1988,3688.01, , , , , , , , , 
01-Jun-1988,3692.9, , , , , , , , , 
01-Jul-1988,3690.98, , , , , , , , , 
01-Aug-1988,3688.08, , , , , , , , , 
01-Sep-1988,3685.61, , , , , , , , , 
01-Oct-1988,3684.19, , , , , , , , , 
01-Nov-1988,3682.1, , , , , , , , , 
01-Dec-1988,3679.76, , , , , , , , , 
01-Jan-1989,3676.59, , , , , , , , , 
01-Feb-1989,3674.61, , , , , , , , , 
01-Mar-1989,3674.6, , , , , , , , , 
01-Apr-1989,3675.85, , , , , , , , , 
01-May-1989,3677.84, , , , , , , , , 
01-Jun-1989,3677.67, , , , , , , , , 
01-Jul-1989,3673.59, , , , , , , , , 
01-Aug-1989,3669.76, , , , , , , , , 
01-Sep-1989,3665.2, , , , , , , , , 
01-Oct-1989,3663.44, , , , , , , , , 
01-Nov-1989,3661.34, , , , , , , , , 
01-Dec-1989,3658.46, , , , , , , , , 
01-Jan-1990,3655.6, , , , , , , , , 
01-Feb-1990,3653.17, , , , , , , , , 
01-Mar-1990,3651.03, , , , , , , , , 
01-Apr-1990,3649.51, , , , , , , , , 
01-May-1990,3648.79, , , , , , , , , 
01-Jun-1990,3650.51, , , , , , , , , 
01-Jul-1990,3647.31, , , , , , , , , 
01-Aug-1990,3641.06, , , , , , , , , 
01-Sep-1990,3637.61, , , , , , , , , 
01-Oct-1990,3637.39, , , , , , , , , 
01-Nov-1990,3636.24, , , , , , , , , 
01-Dec-1990,3633.48, , , , , , , , , 
01-Jan-1991,3630.71, , , , , , , , , 
01-Feb-1991,3629, , , , , , , , , 
01-Mar-1991,3627.75, , , , , , , , , 
01-Apr-1991,3627.61, , , , , , , , , 
01-May-1991,3632.3, , , , , , , , , 
01-Jun-1991,3639.02, , , , , , , , , 
01-Jul-1991,3635.59, , , , , , , , , 
01-Aug-1991,3631.22, , , , , , , , , 
01-Sep-1991,3628.62, , , , , , , , , 
01-Oct-1991,3627.24, , , , , , , , , 
01-Nov-1991,3626.59, , , , , , , , , 
01-Dec-1991,3624.55, , , , , , , , , 
01-Jan-1992,3621.26, , , , , , , , , 
01-Feb-1992,3619.83, , , , , , , , , 
01-Mar-1992,3619.39, , , , , , , , , 
01-Apr-1992,3621.41, , , , , , , , , 
01-May-1992,3630.73, , , , , , , , , 
01-Jun-1992,3633.74, , , , , , , , , 
01-Jul-1992,3630.54, , , , , , , , , 
01-Aug-1992,3626.16, , , , , , , , , 
01-Sep-1992,3623.01, , , , , , , , , 
01-Oct-1992,3621.21, , , , , , , , , 
01-Nov-1992,3619.44, , , , , , , , , 
01-Dec-1992,3615.91, , , , , , , , , 
01-Jan-1993,3613.68, , , , , , , , , 
01-Feb-1993,3612.6, , , , , , , , , 
01-Mar-1993,3616.66, , , , , , , , , 
01-Apr-1993,3623.7, , , , , , , , , 
01-May-1993,3646.67, , , , , , , , , 
01-Jun-1993,3666.34, , , , , , , , , 
01-Jul-1993,3667.73, , , , , , , , , 
01-Aug-1993,3664.39, , , , , , , , , 
01-Sep-1993,3662.52, , , , , , , , , 
01-Oct-1993,3662.26, , , , , , , , , 
01-Nov-1993,3661.53, , , , , , , , , 
01-Dec-1993,3659.31, , , , , , , , , 
01-Jan-1994,3657.15, , , , , , , , , 
01-Feb-1994,3655.04, , , , , , , , , 
01-Mar-1994,3654.52, , , , , , , , , 
01-Apr-1994,3654.01, , , , , , , , , 
01-May-1994,3661.03, , , , , , , , , 
01-Jun-1994,3665.66, , , , , , , , , 
01-Jul-1994,3661.76, , , , , , , , , 
01-Aug-1994,3656.9, , , , , , , , , 
01-Sep-1994,3654.42, , , , , , , , , 
01-Oct-1994,3653.73, , , , , , , , , 
01-Nov-1994,3652.4, , , , , , , , , 
01-Dec-1994,3650.04, , , , , , , , , 
01-Jan-1995,3646.98, , , , , , , , , 
01-Feb-1995,3644.74, , , , , , , , , 
01-Mar-1995,3645.21, , , , , , , , , 
01-Apr-1995,3646.52, , , , , , , , , 
01-May-1995,3658.91, , , , , , , , , 
01-Jun-1995,3680.28, , , , , , , , , 
01-Jul-1995,3693.59, , , , , , , , , 
01-Aug-1995,3691.43, , , , , , , , , 
01-Sep-1995,3687.1, , , , , , , , , 
01-Oct-1995,3684.58, , , , , , , , , 
01-Nov-1995,3682.88, , , , , , , , , 
01-Dec-1995,3680.92, , , , , , , , , 
01-Jan-1996,3677.85, , , , , , , , , 
01-Feb-1996,3676.08, , , , , , , , , 
01-Mar-1996,3672.74, , , , , , , , , 
01-Apr-1996,3672.5, , , , , , , , , 
01-May-1996,3680.9, , , , , , , , , 
01-Jun-1996,3687.75, , , , , , , , , 
01-Jul-1996,3686.49, , , , , , , , , 
01-Aug-1996,3682.2, , , , , , , , , 
01-Sep-1996,3679.29, , , , , , , , , 
01-Oct-1996,3678, , , , , , , , , 
01-Nov-1996,3677.49, , , , , , , , , 
01-Dec-1996,3674.71, , , , , , , , , 
01-Jan-1997,3671.1, , , , , , , , , 
01-Feb-1997,3666.22, , , , , , , , , 
01-Mar-1997,3663.22, , , , , , , , , 
01-Apr-1997,3664.64, , , , , , , , , 
01-May-1997,3678.84, , , , , , , , , 
01-Jun-1997,3694.08, , , , , , , , , 
01-Jul-1997,3693.5, , , , , , , , , 
01-Aug-1997,3690.91, , , , , , , , , 
01-Sep-1997,3690.32, , , , , , , , , 
01-Oct-1997,3688.7, , , , , , , , , 
01-Nov-1997,3685.85, , , , , , , , , 
01-Dec-1997,3682.3, , , , , , , , , 
01-Jan-1998,3678.93, , , , , , , , , 
01-Feb-1998,3675.64, , , , , , , , , 
01-Mar-1998,3673.12, , , , , , , , , 
01-Apr-1998,3676.45, , , , , , , , , 
01-May-1998,3689.3, , , , , , , , , 
01-Jun-1998,3696.27, , , , , , , , , 
01-Jul-1998,3695.24, , , , , , , , , 
01-Aug-1998,3690.74, , , , , , , , , 
01-Sep-1998,3687.71, , , , , , , , , 
01-Oct-1998,3686.35, , , , , , , , , 
01-Nov-1998,3685.54, , , , , , , , , 
01-Dec-1998,3682.7, , , , , , , , , 
01-Jan-1999,3680.59, , , , , , , , , 
01-Feb-1999,3678.83, , , , , , , , , 
01-Mar-1999,3677.64, , , , , , , , , 
01-Apr-1999,3677.48, , , , , , , , , 
01-May-1999,3682.07, , , , , , , , , 
01-Jun-1999,3693.57, , , , , , , , , 
01-Jul-1999,3694.04, , , , , , , , , 
01-Aug-1999,3693.49, , , , , , , , , 
01-Sep-1999,3691.59, , , , , , , , , 
01-Oct-1999,3688.57, , , , , , , , , 
01-Nov-1999,3684.82, , , , , , , , , 
01-Dec-1999,3681.27, , , , , , , , , 
01-Jan-2000,3679.17, , , , , , , , , 
01-Feb-2000,3677.86, , , , , , , , , 
01-Mar-2000,3676.96, , , , , , , , , 
01-Apr-2000,3675.95, , , , , , , , , 
01-May-2000,3678.53, , , , , , , , , 
01-Jun-2000,3683.4, , , , , , , , , 
01-Jul-2000,3682.12, , , , , , , , , 
01-Aug-2000,3680.32, , , , , , , , , 
01-Sep-2000,3677.8, , , , , , , , , 
01-Oct-2000,3676.5, , , , , , , , , 
01-Nov-2000,3673.32, , , , , , , , , 
01-Dec-2000,3669.89, , , , , , , , , 
